1/100, error=0.8709913547682318
2/100, error=0.7692042128527246
3/100, error=0.7078415559336493
4/100, error=0.5767526896845443
5/100, error=0.3458310797260433
6/100, error=0.18302968237370928
7/100, error=0.1271567409107594
8/100, error=0.10954471154716375
9/100, error=0.10085024689109648
10/100, error=0.09547569740400196
11/100, error=0.09087225361597298
12/100, error=0.08613523654399266
13/100, error=0.08222493931708938
14/100, error=0.07920568835973889
15/100, error=0.0768057041967581
16/100, error=0.074894471462856
17/100, error=0.07321591232571692
18/100, error=0.07167477318326329
19/100, error=0.07028433408045419
20/100, error=0.06902089814711873
21/100, error=0.06786798448165228
22/100, error=0.06680649831935785
23/100, error=0.06582081569130203
24/100, error=0.06490873815054302
25/100, error=0.06406097551024421
26/100, error=0.06325455233295088
27/100, error=0.0624769221157621
28/100, error=0.0617259695335473
29/100, error=0.061003708002634834
30/100, error=0.060322615944339485
31/100, error=0.05966864745294482
32/100, error=0.05901271057299908
33/100, error=0.05834737012913348
34/100, error=0.05769833604202662
35/100, error=0.057077370687608264
36/100, error=0.0564762149730014
37/100, error=0.05588513751389007
38/100, error=0.055309256760472554
39/100, error=0.054758700011495014
40/100, error=0.05423318604568052
41/100, error=0.05373108136735281
42/100, error=0.05324707661310471
43/100, error=0.05277953758943526
44/100, error=0.05232942887310627
45/100, error=0.05189632523792883
46/100, error=0.05147849559242941
47/100, error=0.05107501804202092
48/100, error=0.050685141143064605
49/100, error=0.050307623601858906
50/100, error=0.049941677993337916
51/100, error=0.049586311465588305
52/100, error=0.04924052178075886
53/100, error=0.04890638627233768
54/100, error=0.04858560738502058
55/100, error=0.04827585257972698
56/100, error=0.047973912975961173
57/100, error=0.04767789243499455
58/100, error=0.04738672031047809
59/100, error=0.04709937990999921
60/100, error=0.0468153915358182
61/100, error=0.04653487386925158
62/100, error=0.04625706569328771
63/100, error=0.04597558975701911
64/100, error=0.045699006300887045
65/100, error=0.04544820194185764
66/100, error=0.0452058280704507
67/100, error=0.04496920547848562
68/100, error=0.044739084010451256
69/100, error=0.04451757062561886
70/100, error=0.044306127556374995
71/100, error=0.04410481195980172
72/100, error=0.043912529363691846
73/100, error=0.04372765821934463
74/100, error=0.0435486010918634
75/100, error=0.04337407476629199
76/100, error=0.04320315761255989
77/100, error=0.043035230331228067
78/100, error=0.042869936885002846
79/100, error=0.042707035569240735
80/100, error=0.04254592375795092
81/100, error=0.04238519462742512
82/100, error=0.04222304423620796
83/100, error=0.042059684270008835
84/100, error=0.04189913349879792
85/100, error=0.041743853904320664
86/100, error=0.041593028774775276
87/100, error=0.041445821574273074
88/100, error=0.041301921027521865
89/100, error=0.04116091907863341
90/100, error=0.04102208984418097
91/100, error=0.04088437723672551
92/100, error=0.04074593362475316
93/100, error=0.040602488024687994
94/100, error=0.04045038421336811
95/100, error=0.040306399542984095
96/100, error=0.04017588286691028
97/100, error=0.040050052751089554
98/100, error=0.03992631223882561
99/100, error=0.03980339337818713
100/100, error=0.039680282992845275
